name,idn,address,tvc,district,state,pincode,landline,website,h_email,h_name,h_designation,h_type,h_joining,h_te,h_re,h_ie,h_landline,h_fax,h_email
SETH GANGA SAGAR JATIA POLYTECHNIC,1-495959991,"CAMPUS  S.G.S.J. POLYTECHNIC  KHURJA, BULANDSHAHAR, KHURJA, Uttar Pradesh, 203131",KHURJA,BULANDSHAHAR,Uttar Pradesh,203131,5738 - 232020,www.sgsjpolytechnic.com,sgsjpoly@yahoo.co.in,SITA RAM GAUTAM,WORKING PRINCIPAL,Regular,01-Nov-14,32 years,0 years,2 years,5738 - 232020,244079,sgsjpoly@yahoo.co.in
"SETH HARIBAKSH LOHIA JAIRAM MAHILA POLYTECHNIC,LOHAR MAJRA,KURUKSHETRA",1-487620591,"POST OFFICE KAMODA, VILLAGE LOHAR MAJRA, KURUKSHETRA, KURUKSHETRA, LOHAR MAJRA, Haryana, 136118",LOHAR MAJRA,KURUKSHETRA,Haryana,136118,1744 - 274957,www.jairamgroups.org,shlmpku@hry.nic.in,SAT NARAYAN GUPTA,DIRECTOR,Regular,02-Nov-06,37 years,0 years,0 years,1744 - 274957,274960,shlmpku@hry.nic.in
SETH JAI PARKASH MUKAND LAL INSTITUTE OF ENGINEERING & TECHNOLOGY,1-4631951,"DIRECTOR  JMIT, RADAUR, YAMUNA NAGAR, RADAUR, Haryana, 135133",RADAUR,YAMUNA NAGAR,Haryana,135133,1732 - 284195,www.jmit.ac.in,director@jmit.ac.in,SANJEEV KUMAR GARG,DIRECTOR,Regular,25-Oct-13,15 years,0 years,0 years,1732 - 284779,283800,director@jmit.ac.in
SETH JAI PARKASH POLYTECHNIC,1-421036543,"SETH JAI PARKASH POLYTECHNIC, DAMLA, YAMUNA NAGAR (HARYANA), YAMUNA NAGAR, DAMLA, Haryana, 135001",DAMLA,YAMUNA NAGAR,Haryana,135001,1732 - 282444,www.sjpdamla.ac.in,principal@sjpdamla.ac.in,ANIL KUMAR BUDHIRAJA,PRINCIPAL,Regular,01-Jan-91,25 years,0 years,2 years,1732 - 282444,282853,anil033@rediffmail.com
SETH JAIPRAKASH MUKANDLAL POLYTECHNIC,1-437195903,"SETH JAI PRAKASH MUKANDLAL POLYTECHNIC,, GHAZIABAD, GHAZIABAD, Uttar Pradesh, 201001",GHAZIABAD,GHAZIABAD,Uttar Pradesh,201001,120 - 2717493,www.sjmpolytechnic.ac.in,sjmpolytechnic@yahoo.com,CHANDRA KANTA,H.O.D.-COMPUTER DEPARTMENT,Acting,11-Sep-79,31 years,0 years,0 years,120 - 2717493,2710190,sraizada25@rediffmail.com
SETH SRINIWAS AGARWAL INSTITUTE OF ENGINEERING & TECHNOLOGY,1-5772171,"SSA KNOWLEDGE PARK, GT ROAD(2K.M. FROM I.I.T)NARAMAU, KANPUR, KANPUR NAGAR, KANPUR, Uttar Pradesh, 209217",KANPUR,KANPUR NAGAR,Uttar Pradesh,209217,512 - 2770799,www.ssaiet.com,ssnams@gmail.com,K.N. RAI,DIRECTOR,Regular,,25 years,5 years,0 years,512 -,2770896,ssnams@gmail.com
SETH SRINIWAS AGARWAL INSTITUTE OF MANAGEMENT,1-5835121,"SSA KNOWLEDGE PARK(2 KM FROM IIT) NARAMAU, KANPUR NAGAR, KANPUR, Uttar Pradesh, 209217",KANPUR,KANPUR NAGAR,Uttar Pradesh,209217,512 - 3271105,www.ssaim.org,ssagroupofinstitutions@gmail.com,DR. SHUBHA AGARWAL,ASTT. PROFESSOR,Regular,,0 years,0 years,0 years,-,2770896,ssnams@gmail.com
SETH VISHAMBHAR NATH INSTITUTE OF ENGINEERING & TECHNOLOGY,1-13965411,"5/52 VISHAL KHAND, GOMTI NAGAR, LUCKNOW, LUCKNOW, LUCKNOW, Uttar Pradesh, 226010",BARABANKI,LUCKNOW,Uttar Pradesh,225003,522 - 9005004242,www.svngroup.ac.in,svn.edu.society@gmail.com,MILIND JHA,CHAIRMAN,Regular,02-Jul-15,15 years,12 years,7 years,522 - 9005004242,2269357,svn.edu.society@gmail.com
SETH VISHAMBHAR NATH INSTITUTE OF MANAGEMENT STUDIES & RESEARCH,1-4256011,"5/52 VISHAL KHAND , GOMTI NAGAR LUCKNOW, LUCKNOW, LUCKNOW, Uttar Pradesh, 226010",BARABANKI,LUCKNOW,Uttar Pradesh,225003,522 - 2269357,www.svngroup.ac.in,svn.edu.society@gmail.com,ARUN KUMAR SHUKLA,CHAIRMAN,Regular,01-Jul-10,10 years,3 years,5 years,522 - 9005004242,2269357,svn.edu.society@gmail.com
SETHU INSTITUTE OF TECHNOLOGY,1-419556751,"PULLOOR, KARIAPATTI, VIRUDHUNAGAR, KARIAPATTI, Tamil Nadu, 626115",VIRUDHUNAGAR,MADURAI,Tamil Nadu,626115,4566 - 308006,www.sethu.ac.in,principal@sethu.ac.in,SENTHIL KUMAR A,PRINCIPAL,Regular,01-Aug-96,24 years,0 years,0 years,4566 - 308006,308000,principal@sethu.ac.in
SEVDIE INSTITUTE OF MANAGEMENT & TECHNOLOGY,1-476291461,"M.D. SIMT CHINHAT-DEVA ROAD NEAR TELCO INDUSTRIAL AREA LUCKNOW, LUCKNOW, LUCKNOW, Uttar Pradesh, 226019",LUCKNOW,LUCKNOW,Uttar Pradesh,226019,522 - 2818654,www.simt.in,managingdirector@simt.in,ASHISH SINGH,MANAGING DIRECTOR,Regular,16-Aug-02,11 years,0 years,0 years,522 - 2818654,2818654,MANAGINGDIRECTOR@SIMT.IN
SEVEN HILLS COLLEGE OF PHARMACY,1-6922731,"18-2-139, ASHOK NAGAR, CHITTOOR, TIRUPATI, Andhra Pradesh, 517501",TIRUPATI,CHITTOOR,Andhra Pradesh,517561,8577 - 281460,www.shcptirupati.com,principal.shcp@yahoo.com,NIRANJAN BABU MUDDULURU,SECRETARY,Regular,01-Jan-10,12 years,5 years,5 years,8577 - 281460,2220750,shcp7@yahoo.com
SF'S SANDIP INSTITUTE OF TECHNOLOGY AND RESEARCH CENTRE,1-2942871,"A/P: MAHIRAVANI, TRIMBAK ROAD,  TAL & DIST : NASHIK, NASHIK, NASHIK, Maharashtra, 422213",MAHIRAVANI,MUMBAI SUBURBAN,Maharashtra,422213,2594 - 222551,www.sandipfoundation.org,principal@sitrc.org,SANJAY GANDHE,PRINCIPAL,Regular,09-Apr-11,25 years,3 years,0 years,2594 - 222551,222555,principal@sitrc.org
SGB AMRAVATI UNIVERSITY,1-34727050,"SANT GADGE BABA AMRAVATI UNIVESITY, TOPOWAN ROAD, CAMP, AMRAVAT, AMRAVATI, AMRAVATI, Maharashtra, 444602",AMRAVATI,AMRAVATI,Maharashtra,444602,721 - 2662358,www.sgbau.ac.in,reg@sgbau.ac.in,MOHAN KHEDKAR,REGISTRAR,Regular,24-Feb-11,26 years,5 years,0 years,721 - 2662373,2660949,reg@sgbau.ac.in
"SGES'S DR. N. A. MAGADUM POLYTECHNIC, ANKALI",1-461010121,"A/P: MANJARI TAL: CHIKODI, BELGAUM, MANJARI, Karnataka, 591213",ANKALI,BELGAUM,Karnataka,591213,8338 - 254291,www.shreegomatesh.com,sges.polytechnic.ank@gmail.com,RAMCHANDRA KADAM,PRINCIPAL,Regular,01-Aug-09,6 years,0 years,13 years,8338 - 254291,254800,rdkadam527@gmail.com
SGIT IMT COLLEGE OF ARCHITECTURE,1-812243731,"NH - 24, JINDAL NAGAR, GHAZIABAD, GHAZIBAD, Uttar Pradesh, 201302",GHAZIABAD,GHAZIABAD,Uttar Pradesh,201302,120 - 2809200,www.sgit.ac.in,kuldeep.adhana@sgit.ac.in,KANAK TIWARI,REGISTRAR,Regular,01-Dec-14,10 years,2 years,8 years,120 - 2809200,2809222,registrar@sgit.ac.in
SGM INSTITUTE OF MANAGEMENT,1-4287651,"NO. 5, ARMY GARDEN, P.O. KRISHNA NAGAR, MATHURA, MATHURA, Uttar Pradesh, 281004",MATHURA,MATHURA,Uttar Pradesh,281004,565 - 2425450,www.sgmcollege.com,sgmcollege@gmail.com,SWATENDRA DEV GUPTA,CHAIRMAN,Regular,25-May-09,40 years,10 years,0 years,565 - 2420449,2425450,sgmcollege@gmail.com
"SGSPS, INSTITUTE OF PHARMACY",1-10009924,"'CHAITANYA' BUILDING BALAJI LAYOUT NEAR INCOME TAX CHOWK AKOLA, AKOLA, AKOLA, Maharashtra, 444004",AKOLA,AKOLA,Maharashtra,444004,724 - 2489951,www.gspsiop.com,gspsiop@rediffmail.com,NITIN BHAJIPALE,PRINCIPAL,Regular,01-Oct-99,17 years,0 years,1 years,724 - 2489951,2489951,nbjp@rediffmail.com
SGSS'S COLLEGE OF PHARMACY,1-433749961,"A/P- KALWAN TAL-KALWAN, NASHIK, KALWAN, Maharashtra, 423501",KALWAN,NASHIK,Maharashtra,423501,2592 - 222990,www.manurpharmacy.com,copharmkalwan@yahoo.com,KISHOR KOTHAWADE,PRINCIPAL,Regular,02-Jan-12,13 years,0 years,0 years,2592 - 222990,222990,kkishor179@gmail.com
"SH.GOKUL BHAI BHATT,GOVERNMENT POLYTECHNIC COLLEGE,SIROHI",1-455425541,"AJIT VIDHYA MANDIR SCHOOL,SHANTI NAGAR,SIROHI, SIROHI, SIROHI, Rajasthan, 307001",SIROHI,JODHPUR,Rajasthan,307001,2972 - 2972222401,www.dte.rajasthan.gov.in,gpc.sirohi@gmail.com,POKAR LAL MALVIYA,HOD (ELECTRONICS),Regular,26-Jul-07,28 years,0 years,0 years,2972 - 222401,221030,gpc.sirohi@gmail.com
SHA-SHIB COLLEGE OF ENGINEERING,1-13060751,"#2, 2 CROSS,2 BLOCK,SOMANNAGA GARDEN, NEAR HMT LAYOUT, VIDYARANAPURA,BANGALORE, BANGALORE URBAN, BANGALORE, Karnataka, 560097",CHIKKABALLAPUR,BANGALORE RURAL,Karnataka,562104,8156 - 276901,www.shashibgroup.org,scebangalore@gmail.com,Narayana B,PRINCIPAL,Regular,31-Oct-14,29 years,5 years,0 years,80 - 23647689,8156276902,scebangalore@gmail.com
SHA-SHIB COLLEGE OF TECHNOLOGY,1-38471831,"SHA-SHIB COLLEGE, PARVALIA, NH-12, JAIPUR ROAD, BHOPAL, BHOPAL, BHOPAL, Madhya Pradesh, 462030",BHOPAL,BHOPAL,Madhya Pradesh,462030,755 - 7552867422,www.shashibgroup.org,shashibbhopal@gmail.com,ABDUL ANSARI,PRINCIPAL,Regular,25-May-09,42 years,2 years,2 years,755 - 3206478,7552867283,principalshashib@gmail.com
SHAAZ COLLEGE OF ENGINEERING & TECHNOLOGY,1-8729791,"AZIZ NAGAR,HIMAYATH NAGAR(VI),MOINABAD (MANDAL), RANGAREDDY(DIST), RANGAREDDI, HIMAYATHNAGAR, Andhra Pradesh, 500075",HIMAYAT NAGAR,HYDERABAD,Andhra Pradesh,500075,8413 - 235081,www.shaaz.org,principalshaazcet@gmail.com,VIJAYARAMAIAH M,PRINCIPAL,Regular,07-Dec-13,10 years,10 years,20 years,8413 - 235081,235082,principalshaazcet@gmail.com
SHADAN COLLEGE OF ENGINEERING & TECHNOLOGY,1-6281771,"Q.NO.108  B- BLOCK  SHADAN HOSPITAL  PEERANCHERU, RANGAREDDI, HYDERABAD, Telangana, 500008",HYDERABAD,HYDERABAD,Telangana,500008,40 - 65508311,www.scet.in,mail_to_ateeq@yahoo.com,SRINIVAS BOLLABATHINIL,DIRECTOR,Regular,04-Feb-10,29 years,2 years,0 years,40 - 65558802,20026012,mail_to_ateeq@yahoo.com
SHADAN COLLEGE OF PHARMACY,1-15447541,"SHADAN COLLEGE OF PHARMACY,HIMAYATH SAGAR ROAD, PEERANCHERU, RANGAREDDI, HYDERABAD, Telangana, 500091",HYDERABAD,HYDERABAD,Andhra Pradesh,500008,40 - 65221764,www.shadanpharma.com,shadan143pharmacy@yahoo.com,HABIBUDDIN MOHAMMED,PRINCIPAL,Regular,08-Nov-14,25 years,24 years,0 years,40 - 65221764,24198012,shadan143pharmacy@yahoo.com
SHADAN INSTITUTE OF COMPUTER STUDIES,1-6955435,"MHDIPATNAM, HYDERABAD, HYDERABAD, HYDERABAD, Andhra Pradesh, 500004",HYDERABAD,HYDERABAD,Andhra Pradesh,500004,40 - 66667272,www.shadan.org,shadanmcag@yahoo.com,MASOOD MOHAMMED,PRINCIPAL,Regular,18-May-91,22 years,6 years,10 years,40 - 66667272,66776515,aim_ea@yahoo.co.in
SHADAN INSTITUTE OF COMPUTER STUDIES FOR BOYS,1-7105471,"SHAH MANZIL, HYDERABAD, MASAB TANK, Andhra Pradesh, 500028",HYDERABAD,HYDERABAD,Andhra Pradesh,500004,40 - 66667272,www.shadan.org,ghouse.1n1@gmail.com,ZEHRA KHAN DR.,PRINCIPAL,Regular,01-May-13,10 years,4 years,3 years,40 - 66667272,66669915,GHOUSE.1N1@GMAIL.COM
SHADAN INSTITUTE OF MANAGEMENT STUDIES,1-6992891,"#8-3-400, AMEERPET, HYDERABAD, HYDERABAD, Andhra Pradesh, 500073",HYDERABAD,HYDERABAD,Andhra Pradesh,500004,40 - 66669931,www.shadan.org,simskhairatabad@gmail.com,PROF. ILYAS UR RAHMAN,PRINCIPAL,Regular,01-Sep-06,23 years,11 years,6 years,40 - 23348823,66669915,profiurahman@gmail.com
SHADAN WOMEN'S COLLEGE OF ENGINEERING & TECHNOLOGY,1-6549861,"6-2-980,KHAIRATHABAD,HYDERABAD-500004, HYDERABAD, HYDERABAD, Telangana, 500004",HYDERABAD,HYDERABAD,Andhra Pradesh,500004,40 - 23305552,www.swcet.in,swcetl5@yahoo.com,SARANA BASAWESHWARA GANGADHAR,DIRECTOR,Regular,01-Nov-14,16 years,6 years,2 years,40 - 23305552,23305553,swcetl5@yahoo.com
SHADAN WOMEN'S COLLEGE OF PHARMACY,1-6030019,"FLAT NO-106, BHARANI APARTMENTS  SALEEM NAGAR COLONY, MALAKPET, HYDERABAD, HYDERABAD, HYDERABAD, Andhra Pradesh, 500024",HYDERABAD,RANGAREDDI,Andhra Pradesh,500004,40 - 23305545,www.shadanwomenspharma.com,pharmacy.swcp@gmail.com,SUNITHA MADDA,PRINCIPAL,Regular,13-Jan-12,13 years,3 years,0 years,40 - 23305545,23305545,pharmacy.swcp@gmail.com
SHAH & ANCHOR KUTCHHI POLYTECHNIC,1-421236411,"SHAH & ANCHOR KUTCHHI POLYTECHNIC, MAHAVIR EDUCATION TRUST CHOWK, W.T.  PATIL MARG, CHEMBUR, MUMBAI SUBURBAN, MUMBAI, Maharashtra, 400088",MUMBAI,MUMBAI SUBURBAN,Maharashtra,400088,22 - 67978400,www.sakp.ac.in,info@sakp.ac.in,BHAVESH PATEL,PRINCIPAL,Regular,01-Jan-11,23 years,0 years,0 years,22 - 67978400,25585725,bh_patelin@yahoo.co.in
SHAH AND ANCHOR KUTCHHI ENGINEERING COLLEGE,1-2625316,"15TH, SHANTINIKETAN  17/2 ,R.A. KIDWAI ROAD, MUMBAI CITY, WADALA, Maharashtra, 400031",MUMBAI,MUMBAI CITY,Maharashtra,400088,22 - 25580854,www.shahandaanchor.com,principal@shahandanchor.com,VINIT KOTAK,I/C. PRINCIPAL,Incharge,08-Jan-89,25 years,6 years,0 years,9122 - 25580854,25568100,vinit_kotak@yahoo.com
SHAH SATNAM JI INSTITUTE OF TECHNOLOGY AND MANAGEMENT,1-11492251,"B-2, SHAH SATNAM JI NAGAR, SIRSA, SIRSA, Haryana, 125055",SIRSA,SIRSA,Haryana,125055,1666 - 1666238605,www.ssjitm.com,infossjitm@gmail.com,DR. CHANCHAL RANI,DIRECTOR,Acting,30-Aug-05,20 years,5 years,0 years,1666 - 238678,1666238620,insanchanchal@gmail.com
SHAHEED BHAGAT SINGH INSTITUTE OF MANAGEMENT & TECHNOLOGY,1-14036241,"H NO.7,BHARAT COLONY ,LAL DWARA ROAD, YAMUNANAGAR, YAMUNA NAGAR, YAMUNANAGAR, Haryana, 135001",YAMUNANAGAR,YAMUNA NAGAR,Haryana,135003,1732 - 213700,www.sbsimt.org,sbsimt@rediffmail.com,OM PRAKASH SRIVASTAVA,PRESIDENT,Regular,01-Sep-09,7 years,3 years,21 years,1732 - 213700,223007,sbsimt@rediffmail.com
SHAHEED BHAGAT SINGH POLYTECHNIC & PHARMACY COLLEGE,1-425633731,"PATTI, TARN TARAN, TARAN TARAN, PATTI, Punjab, 143416",TARN TARAN,TARAN TARAN,Punjab,143416,1851 - 245726,www.sbspharmacypatti.org,sbscop@rediffmail.com,HAYAT BHAT,DIRECTOR CUM PRINCIPAL,Regular,04-Apr-05,16 years,8 years,2 years,1851 - 245726,244618,hayat18@rediffmail.com
SHAHEED BHAGAT SINGH POLYTECHNIC COLLEGE,1-437155151,"OLD KAIRON ROAD, TARAN TARAN, PATTI, Punjab, 143416",PATTI,TARAN TARAN,Punjab,143416,1851 - 244618,www.sbspolytechnici.org,sbspoly@yahoo.com,GURMIT SINGH,MANAGING DIRECTOR,Regular,09-Oct-05,39 years,0 years,0 years,1851 - 244618,243468,sbspoly@yahoo.com
SHAHEED BHAGAT SINGH POLYTECHNIC FOR ENGINEERING,1-493113241,"H. NO. 7 BHARAT COLONY, LAL DWARA ROAD , YAMUNA NAGAR, YAMUNA NAGAR, YAMUNA NAGAR, Haryana, 135001",YAMUNA NAGAR,YAMUNA NAGAR,Haryana,135003,1732 - 213700,www.sbspfe.com,sbspfe@gmail.com,PADAM PRAKASH GUPTA,PRESIDENT,Regular,01-Oct-11,23 years,0 years,25 years,1732 - 213700,223007,sbspfe@gmail.com
SHAHEED BHAGAT SINGH STATE TECHNICAL CAMPUS,1-6607571,"SHAHEED BHAGAT SINGH STATE TECHNICAL CAMPUS, MOGA ROAD, NH-95, FIROZPUR, FEROZEPUR, Punjab, 152004",FEROZEPUR,FIROZPUR,Punjab,152004,1632 - 1632242138,www.sbsstc.ac.in,director@sbsstc.ac.in,TEJINDER SINGH SIDHU,DIRECTOR,Regular,10-Dec-96,23 years,7 years,0 years,1632 - 242138,242138,director@sbsstc.ac.in
SHAHEED CAPT. D.K. KHOLA COLLEGE OF MANAGMENT AND TECHNOLOGY,1-44797224,"V.P.O. - ZAINABAD  DISTT. - REWARI  HARYANA-123411, REWARI, ZAINABAD, Haryana, 123411",REWARI,REWARI,Haryana,123411,1281 - 248530,www.kholamanagement.com,kholamanagement@gmail.com,NARESH KUMAR VASHISHTHA,CHAIRMAN,Adhoc/Contract,19-Apr-10,12 years,3 years,0 years,1281 - 248530,248530,kholamanagement@gmail.com
SHAHEED CAPTAIN D.K. KHOLA TECHNICAL CAMPUS,1-731472021,"VILL ZAINABAD  REWARI, REWARI, REWARI, Haryana, 123411",REWARI,REWARI,Haryana,123411,1281 - 248107,www.dkkholaedu.org,khola.satish@gmail.com,MUKESH AGGRAWAL,PRESIDENT,Regular,01-Aug-12,8 years,0 years,0 years,1252 - 248107,230493,khola.satish@gmail.com
SHAHEED NAND SINGH GOVT.POLYTECHNIC COLLEGE,1-764916831,"VILLAGE DEHAR, PO LALRU, SAS NAGAR, MOHALI (PUNJAB), MOHALI, MOHALI, Punjab, 140501",BARETA,MANSA,Punjab,151501,1652 - 9417293985,www.gpcbareta.org,principal.bareta@gmail.com,SURINDER KUMAR,PRINCIPAL,Regular,05-Feb-15,31 years,0 years,0 years,1652 -,9417293985,principal.bareta@gmail.com
SHAHEED UDHAM SINGH COLLEGE OF ENGINEERING & TECHNOLOGY,1-6017201,"SHAHEED UDHAM SINGH COLLEGE OF ENGINEERING & TECHNOLOGY, TANGORI (MOHALI), PUNJAB, MOHALI, TANGORI/MOHALI, Punjab, 140306",MOHALI,CHANDIGARH,Chandigarh,140306,1762 - 306103,www.sus.edu.in,director@sus.edu.in,BADHAI LONIA,PRINCIPAL,Regular,16-Aug-12,8 years,5 years,5 years,1762 - 306116,306143,director@sus.edu.in
SHAHEED UDHAM SINGH INSTITUTE OF COMPUTER,1-6028161,"# 1164,PHASE- 3B2, MOHALI, MOHALI, MOHALI, Punjab, 160059",MOHALI,CHANDIGARH,Chandigarh,140306,1762 - 306104,www.sus.edu.in,director@sus.edu.in,RAJESH KUMAR SINGH,PRINCIPAL,Regular,17-Feb-15,18 years,7 years,1 years,1762 - 306104,1762306143,rajeshkripal@gmail.com
SHAHEED UDHAM SINGH POLYTECHNIC COLLEGE,1-445465771,"#33,PARVATI ENCLAVE, MOHALI, CHAJJU MAJRA, Punjab, 140301",MOHALI,MOHALI,Punjab,140306,1762 - 306145,www.sus.edu.in,principalsuspc@yahoo.com,SUSHIL KAMBOJ,PRINCIPAL,Regular,15-Jun-13,9 years,0 years,0 years,1762 - 306145,306147,principalsuspc@yahoo.com
SHAHEED VIRENDRA SINGH SIROHI INSTITUTE OF TECHNOLOGY,1-509207631,"K-358, YASHODA NAGAR, KANPUR, KANPUR NAGAR, KANPUR NAGAR, Uttar Pradesh, 208011",BHOGNIPUR,KANPUR NAGAR,Uttar Pradesh,209115,512 - 3255710,www.svssit.ac.in,sachin.svssit@rediffmail.com,SUKH NANDAN VERMA,ADVISOR,Regular,19-May-13,37 years,0 years,0 years,512 - 3255710,3933418,svssit@gmail.com
SHAHJEHAN COLLEGE OF BUSINESS MANAGEMENT,1-8131421,"6-3-1177/A/38&42,KUNDANBAGH,  BEGUMPET, HYDERABAD, HYDERABAD, Andhra Pradesh, 500016",HYDERABAD,HYDERABAD,Telangana,500016,40 - 23410530,www.sjcolleges.com,chairman@sjcolleges.com,RAJESHAM PALLE,SECRETARY,Regular,03-Mar-00,15 years,5 years,5 years,40 - 23340093,4023240763,CHAIRMAN@SJCOLLEGES.COM
SHAHJEHAN COLLEGE OF ENGINEERING & TECHNOLOGY,1-22331997,"3-5-782/B II FLOOR,  OPP. KINGKOTI HOSPITAL, KINGKOTI, RANGAREDDI, HYDERABAD, Andhra Pradesh, 500029",R.R.DIST.,HYDERABAD,Andhra Pradesh,501503,8417 - 203622,www.sjcolleges.com,principal_shahjehan@yahoo.co.in,SUNEETHA RAJESHM A,TAX CONSULTANT,Regular,17-Aug-09,15 years,3 years,5 years,40 - 23540633,23240763,chairman@sjcolleges.com
SHAHUL HAMEED MEMORIAL ENGINEERING COLLEGE,1-475446921,"INDEEVARAM  VRA-C6  VANCHIYOOR, TRIVANDRUM, TRIVANDRUM, Kerala, 695035",KADAKKAL,TRIVANDRUM,Kerala,691536,474 - 2424900,www.shmec.org,shmenggcollege@gmail.com,SOMANATHAN NAIR DR.,PRINCIPAL,Adhoc/Contract,30-Sep-10,38 years,25 years,2 years,471 - 2477878,2477878,profbsnair@gmail.com
SHAIKH COLLEGE OF ENGINEERING AND TECHNOLOGY,1-5912076,"SHAIKH COLLEGE OF ENGINEERING & TECHNOLOGY,15/2 ADJACENT TO RANI CHENMMA UNIVERSITY,BHOOTRAMANHATTI ,BHOOTRAMANAHATTI, BELGAUM, BELGAUM, Karnataka, 591156",BELGAUM,BELGAUM,Karnataka,591156,831 - 8312494545,www.scetbgm.com,kamateksk@rediffmail.com,SANNAPPA KAMATE,PRINCIPAL,Regular,20-Jan-14,21 years,4 years,2 years,831 - 2494545,8312494555,kamateksk@rediffmail.com
SHAKAMBHARI INSTITUTE OF HIGHER EDUCATION & TECHNOLOGY,1-431052731,"VILL- PUHANA POST- SALIYAR, ROORKEE UK, HARIDWAR, ROORKEE, Uttarakhand, 247667",ROORKEE,HARIDWAR,Uttarakhand,247667,1332 - 234059,www.sihet.org,sihet06@yahoo.in,NARESH KUMAR MR.,CHAIRMAN,Regular,01-Aug-08,9 years,0 years,1 years,1332 -,9219411595,sihet06@yahoo.co.in
SHAKTHI INSTITUTE OF FASHION TECHNOLOGY,1-407308481,"NO.1, OM SAKTHI NAGAR, TIRUPUR., TIRUPPUR, TIRUPUR, Tamil Nadu, 641601",TIRUPUR,TIRUPPUR,Tamil Nadu,641607,421 - 2374511,www.sakthicollege.org,shakthipolytechnic@gmail.com,DR.M.SIVAKUMAR DR.M.SIVAKUMAR,CHAIRMAN,Regular,06-Jan-15,12 years,0 years,0 years,421 - 2374519,2374515,sakthi.mtrust@gmail.com
SHAKTI COLLEGE OF PHARMACY,1-18625841,"SHAKTI COLLEGE OF PHARMACY, BALRAMPUR, DULHINPUR, Uttar Pradesh, 271201",BALRAMPUR,LUCKNOW,Uttar Pradesh,271201,5263 - 209079,www.scp.org.in,shakticollege@yahoo.co.in,DR. PROF. SAILESH KUMAR GHATUARY,DIRECTOR,Regular,30-Oct-10,14 years,3 years,1 years,5263 - 209079,209079,directorscopblp@gmail.com
SHAKUMBARI COLLEGE,1-466915401,"VILLAGE- SUNDERPUR, SAHARANPUR, V.P.O.- SUNDERPUR, Uttar Pradesh, 247662",TEHSIL-BEHAT,SAHARANPUR,Uttar Pradesh,247662,132 - 2781717,www.shakumbaricollege.org,info@shakumbaricollege.org,DR. ARUN TAYAGI,SECRATORY,Regular,19-Jun-09,20 years,9 years,4 years,132 -,2784143,anantkoti@yahoo.co.in
SHAMBHUNATH INSTITUTE OF ENGINEERING & TECHNOLOGY,1-10813514,"SIET, CAMPUS JHALWA, ALLAHABAD, ALLAHABAD, Uttar Pradesh, 211012",ALLAHABAD,ALLAHABAD,Uttar Pradesh,211012,532 - 3296910,www.siet.in,mail@siet.in,DR. ABHISHEK PANDEY,CHIEF ADMINISTRATIVE OFFICER,Regular,01-May-08,15 years,0 years,0 years,532 - 3296910,2552112,rksingh_rakesh@yahoo.com
SHAMBHUNATH INSTITUTE OF MANAGEMENT,1-7703971,"SIET CAMPUS, JHALWA, ALLAHABAD, ALLAHABAD, Uttar Pradesh, 211012",ALLAHABAD,ALLAHABAD,Uttar Pradesh,211012,532 - 3015680,www.simalld.org,mail@simalld.org,SHRISH MISHRA,ADMINISTRATIVE OFFICER,Regular,01-Jul-10,14 years,2 years,0 years,532 - 3015680,2552112,rksingh_rakesh@yahoomail.com
SHAMBHUNATH INSTITUTE OF PHARMACY,1-19060311,"SIET CAMPUS, JHALWA,, ALLAHABAD, ALLAHABAD, Uttar Pradesh, 211012",ALLAHABAD,ALLAHABAD,Uttar Pradesh,211012,532 - 3296910,www.siponline.in,mail@siponline.in,MANOJ MISHRA,ADMINISTRATIVE OFFICER,Regular,08-Jun-12,11 years,3 years,0 years,532 - 2552129,2552112,RKSINGH_RAKESH@YAHOO.COM
SHANKARA INSTITUTE OF MANAGEMENT,1-8631696,"VED KUTIR 141, SUKHDEV VIHAR,MATHURA ROAD, NEW DELHI, NEW DELHI, Delhi, 110025",JAIPUR,NEW DELHI,Delhi,302028,1426 - 227455,www.shankarabschool.com,shankarainst.mgt@gmail.com,MANOJ KUMAR SONI,PRESIDENT,Regular,03-Feb-14,10 years,2 years,0 years,1426 - 227455,1126829021,santchaudary@yahoo.co.in
SHANKARA INSTITUTE OF TECHNOLOGY,1-4665661,"VED NIWAS 141, SUKHDEV VIHAR,MATHURA ROAD, NEW DELHI, NEW DELHI, Delhi, 110025",JAIPUR,NEW DELHI,Delhi,302028,1426 - 227005,www.shankaratechnology.org,principal.sit@gmail.com,INDER PANDEY,CHAIRMAN,Regular,01-Jul-14,16 years,8 years,5 years,1426 - 247005,26829021,santchaudhary@yahoo.co.in
SHANKARA INTERNATIONAL SCHOOL OF MANAGEMENT,1-8558991,"VED NIWAS 141, SUKHDEV VIHAR, MATHURA ROAD, NEW DELHI, NEW DELHI, Delhi, 110025",JAIPUR,NEW DELHI,Delhi,302028,1426 - 227422,www.shankaramgmt.org,shankara_mgt@yahoo.co.in,NIRAJ SAXENA,PRESIDENT,Regular,16-Aug-10,17 years,0 years,0 years,1426 - 227422,1126829021,santchaudhary@yahoo.co.in
